Регионы;Культура;Образование и наука;Духовность;Творчество;Забота о питомцах;Туризм;Досуг;Внешняя мобильность;Локальная мобильность;Потребление;Карьера и материальный достаток;Безопасность;Здоровье;Экология;Дети;Семья;Патриотизм;Историческая память
Курганская область;0,05;0,07;0,08;0,05;0,66;0,05;0,05;0,05;0,51;0,59;0,63;0,88;0,89;0,94;0,54;0,78;0,18;0,18
Курская область;0,05;0,11;0,08;0,10;0,66;0,05;0,05;0,05;0,52;0,69;0,72;0,76;0,91;0,57;0,47;0,78;0,19;0,19
Ленинградская область;0,05;0,17;0,08;0,14;0,66;0,21;0,16;0,05;0,57;0,75;0,71;0,74;0,88;0,69;0,41;0,74;0,18;0,18
Липецкая область;0,05;0,05;0,08;0,32;0,66;0,14;0,05;0,05;0,53;0,74;0,74;0,78;0,93;0,69;0,47;0,77;0,17;0,17
Магаданская область;0,05;0,05;0,08;0,05;0,66;0,07;0,13;0,05;0,49;0,88;0,95;0,95;0,78;0,69;0,49;0,82;0,17;0,17
Москва;0,05;0,39;0,08;0,65;0,66;0,78;0,73;0,65;0,82;0,95;0,91;0,71;0,94;0,69;0,50;0,79;0,26;0,26
Московская область;0,05;0,21;0,08;0,34;0,66;0,51;0,37;0,59;0,95;0,92;0,84;0,70;0,95;0,94;0,49;0,78;0,19;0,19
Мурманская область;0,05;0,18;0,08;0,18;0,66;0,39;0,22;0,05;0,52;0,88;0,94;0,94;0,82;0,69;0,51;0,80;0,19;0,19
Ненецкий автономный округ;0,05;0,05;0,08;0,05;0,66;0,07;0,12;0,05;0,49;0,77;0,95;0,95;0,82;0,69;0,59;0,76;0,19;0,19
Нижегородская область;0,05;0,17;0,08;0,58;0,66;0,23;0,26;0,05;0,66;0,81;0,76;0,74;0,90;0,69;0,48;0,78;0,20;0,20
Новгородская область;0,05;0,15;0,08;0,54;0,66;0,21;0,05;0,05;0,50;0,70;0,70;0,95;0,92;0,69;0,47;0,78;0,30;0,30
Новосибирская область;0,05;0,13;0,08;0,63;0,66;0,19;0,13;0,05;0,62;0,78;0,75;0,83;0,89;0,69;0,51;0,80;0,17;0,17
Омская область;0,05;0,06;0,08;0,39;0,66;0,05;0,13;0,05;0,56;0,68;0,69;0,78;0,92;0,69;0,51;0,80;0,19;0,19
Оренбургская область;0,05;0,20;0,08;0,07;0,66;0,23;0,05;0,05;0,53;0,65;0,68;0,75;0,92;0,69;0,51;0,78;0,17;0,17
Орловская область;0,05;0,08;0,08;0,42;0,66;0,19;0,09;0,05;0,51;0,68;0,74;0,73;0,95;0,44;0,46;0,77;0,18;0,18
Пензенская область;0,05;0,18;0,08;0,44;0,66;0,09;0,05;0,05;0,53;0,66;0,67;0,77;0,95;0,69;0,46;0,76;0,19;0,19
Пермский край;0,05;0,14;0,08;0,51;0,66;0,23;0,13;0,05;0,67;0,73;0,73;0,92;0,87;0,69;0,52;0,78;0,18;0,18
Приморский край;0,05;0,05;0,08;0,24;0,66;0,23;0,21;0,05;0,55;0,85;0,78;0,93;0,87;0,69;0,50;0,83;0,17;0,17
Псковская область;0,05;0,16;0,08;0,15;0,66;0,21;0,05;0,05;0,51;0,71;0,66;0,89;0,90;0,57;0,48;0,80;0,28;0,28
Республика Адыгея;0,05;0,06;0,08;0,05;0,66;0,16;0,05;0,05;0,50;0,73;0,65;0,70;0,95;0,44;0,49;0,75;0,17;0,17
Республика Алтай;0,05;0,05;0,08;0,05;0,66;0,14;0,05;0,05;0,50;0,61;0,56;0,95;0,88;0,69;0,60;0,81;0,17;0,17
Республика Башкортостан;0,33;0,20;0,08;0,16;0,66;0,30;0,09;0,24;0,65;0,74;0,70;0,81;0,95;0,82;0,50;0,76;0,17;0,17
