,animal_shelter,bakery,bank,bar,beauty,books,bus_station,bus_stop,cafe,cemetery,cinema,clothes,college,convenience,crematorium,dentist,dog_park,electronic,emergency,extra_education,farmland,fire_station,fuel,hairdresser,historic,hospital,hostel,hotel,household,kindergarten,lawyer,library,mall,mfz,monastery,mortuary,museum,orphanage,outpost,park,parking,pharmacy,pitch,playground,police,post_office,prison,recruitment,register_office,religion,reserve,restaurant,school,shop_pets,shop_sport,sports_centre,stadium,substation,subway,supermarket,swimming_pool,theme_park,train_building,train_station,university,veterinary,wastewater_plant
dog_park,0.0,0.014814814814814815,0.009708737864077669,0.0,0.03488372093023256,0.02,0.0,0.019390581717451522,0.01892744479495268,0.0,0.0,0.014925373134328358,0.0,0.006944444444444444,0.0,0.0273972602739726,0.05263157894736842,0.02727272727272727,0.0,0.0392156862745098,0.0,0.0,0.011834319526627219,0.02040816326530612,0.0,0.013513513513513514,0.0,0.01818181818181818,0.011627906976744186,0.0165016501650165,0.028169014084507043,0.0,0.013513513513513514,0.0,0.0,0.0,0.0,0.04,0.020594965675057208,0.05102040816326531,0.016580310880829015,0.019230769230769232,0.03644646924829157,0.03231939163498099,0.0,0.0111731843575419,0.0,0.0,0.038461538461538464,0.021505376344086023,0.0,0.01892744479495268,0.016129032258064516,0.011627906976744186,0.0,0.008547008547008548,0.023809523809523808,0.022964509394572025,0.0,0.0234375,0.0,0.05263157894736842,0.0,0.0,0.01818181818181818,0.04081632653061224,0.0
electronic,0.0,0.21142857142857144,0.15510204081632653,0.11801242236024845,0.16589861751152074,0.13513513513513514,0.020833333333333332,0.08422459893048129,0.16034985422740525,0.0,0.08737864077669903,0.19742489270386265,0.028368794326241134,0.1038961038961039,0.0,0.10837438423645321,0.02727272727272727,0.3191489361702128,0.0,0.07563025210084033,0.0,0.035398230088495575,0.0603448275862069,0.11336032388663968,0.018518518518518517,0.013513513513513514,0.06557377049180328,0.10650887573964497,0.14084507042253522,0.1069364161849711,0.0962962962962963,0.044444444444444446,0.2,0.05,0.0,0.0,0.046875,0.020202020202020204,0.11563169164882227,0.08914728682170543,0.08530318602261049,0.16449086161879894,0.0860655737704918,0.0880281690140845,0.06097560975609756,0.13777777777777778,0.0,0.010638297872340425,0.04081632653061224,0.024096385542168676,0.0,0.16034985422740525,0.08641975308641975,0.14084507042253522,0.13934426229508196,0.07222222222222222,0.03508771929824561,0.09073359073359073,0.09090909090909091,0.1386861313868613,0.00980392156862745,0.0,0.00980392156862745,0.0,0.0234375,0.04132231404958678,0.0
emergency,0.0,0.0,0.020202020202020204,0.01020408163265306,0.0,0.0,0.0,0.0110803324099723,0.012779552715654952,0.0,0.0,0.015384615384615385,0.0,0.01179245283018868,0.0,0.02857142857142857,0.0,0.0,0.0,0.021739130434782608,0.0,0.0,0.006097560975609756,0.0051813471502590676,0.0,0.045454545454545456,0.0,0.0,0.0,0.013422818791946308,0.0,0.01694915254237288,0.0,0.0,0.0,0.125,0.019230769230769232,0.0,0.016166281755196306,0.015228426395939087,0.009316770186335404,0.013888888888888888,0.01126126126126126,0.0075046904315197,0.02197802197802198,0.011560693641618497,0.0,0.0,0.0,0.011363636363636364,0.0,0.012779552715654952,0.011049723756906077,0.0125,0.0,0.009009009009009009,0.027777777777777776,0.010438413361169102,0.0,0.013089005235602094,0.0,0.0,0.0,0.0,0.0,0.022727272727272728,0.0
extra_education,0.02702702702702703,0.06293706293706294,0.08780487804878048,0.05263157894736842,0.0903954802259887,0.03125,0.0,0.03159340659340659,0.049689440993788817,0.0,0.04,0.07881773399014778,0.011904761904761904,0.04895104895104895,0.0,0.09271523178807947,0.0392156862745098,0.07563025210084033,0.021739130434782608,0.17647058823529413,0.0,0.017857142857142856,0.01639344262295082,0.06965174129353234,0.0,0.0,0.04477611940298507,0.024193548387096774,0.0625,0.05555555555555555,0.060240963855421686,0.05194805194805195,0.058823529411764705,0.022727272727272728,0.0,0.0,0.027777777777777776,0.025,0.059770114942528735,0.03271028037383177,0.02998965873836608,0.07222222222222222,0.0467706013363029,0.052830188679245285,0.05555555555555555,0.06521739130434782,0.0,0.0,0.0,0.018518518518518517,0.0,0.049689440993788817,0.06806282722513089,0.05154639175257732,0.06756756756756757,0.0390625,0.07407407407407407,0.03909465020576132,0.01694915254237288,0.06527415143603134,0.075,0.0,0.0,0.0,0.014285714285714285,0.047619047619047616,0.0
farmland,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.006544502617801047,0.0,0.02702702702702703,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4230769230769231,0.013513513513513514,0.009900990099009901,0.0,0.0,0.0,0.0,0.0,0.0,0.0029411764705882353,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.006951340615690168,0.0,0.002053388090349076,0.003484320557491289,0.0,0.004694835680751174,0.0,0.0,0.0,0.0,0.014705882352941176,0.0,0.004524886877828055,0.0,0.0,0.0,0.0,0.007707129094412331,0.0,0.0,0.0,0.0,0.0,0.015873015873015872,0.011363636363636364,0.0,0.0
fire_station,0.0,0.014388489208633094,0.019230769230769232,0.02830188679245283,0.011111111111111112,0.0,0.0,0.0136986301369863,0.031545741324921134,0.0,0.0,0.0196078431372549,0.027777777777777776,0.004576659038901602,0.0,0.006535947712418301,0.0,0.035398230088495575,0.0,0.017857142857142856,0.013513513513513514,0.0,0.041666666666666664,0.0049261083743842365,0.05405405405405406,0.025974025974025976,0.0,0.017543859649122806,0.02247191011235955,0.0064516129032258064,0.02666666666666667,0.014492753623188406,0.0,0.030303030303030304,0.0,0.0,0.03278688524590164,0.0,0.006711409395973154,0.009615384615384616,0.02072538860103627,0.008064516129032258,0.006578947368421052,0.011090573012939002,0.03,0.016483516483516484,0.0,0.0,0.0,0.01020408163265306,0.0,0.031545741324921134,0.005208333333333333,0.011111111111111112,0.046153846153846156,0.016666666666666666,0.0,0.01646090534979424,0.0,0.010178117048346057,0.0,0.0,0.03225806451612903,0.0,0.0,0.0,0.041666666666666664
fuel,0.0064516129032258064,0.04247104247104247,0.0364741641337386,0.02145922746781116,0.026402640264026403,0.016574585635359115,0.0,0.09583858764186633,0.08056872037914692,0.005714285714285714,0.011904761904761904,0.03374233128834356,0.041025641025641026,0.08190476190476191,0.0,0.032846715328467155,0.011834319526627219,0.0603448275862069,0.006097560975609756,0.01639344262295082,0.009900990099009901,0.041666666666666664,0.2631578947368421,0.04716981132075472,0.005988023952095809,0.024630541871921183,0.0053475935828877,0.0425531914893617,0.047619047619047616,0.045023696682464455,0.004878048780487805,0.01015228426395939,0.050505050505050504,0.01875,0.0,0.00641025641025641,0.02127659574468085,0.0,0.06433823529411764,0.046296296296296294,0.10956175298804781,0.058823529411764705,0.06329113924050633,0.06289308176100629,0.03571428571428571,0.05016722408026756,0.0,0.0,0.0,0.02242152466367713,0.005952380952380952,0.08056872037914692,0.03205128205128205,0.028037383177570093,0.031413612565445025,0.04583333333333333,0.005714285714285714,0.08916083916083917,0.017142857142857144,0.0778688524590164,0.00625,0.0,0.00625,0.012345679012345678,0.005319148936170213,0.027932960893854747,0.006535947712418301
hairdresser,0.005434782608695652,0.1865079365079365,0.21311475409836064,0.08097165991902834,0.2781954887218045,0.07575757575757576,0.005434782608695652,0.13383838383838384,0.2216624685138539,0.0,0.02577319587628866,0.2887323943661972,0.03111111111111111,0.22336065573770492,0.0,0.18631178707224336,0.02040816326530612,0.11336032388663968,0.0051813471502590676,0.06965174129353234,0.0,0.0049261083743842365,0.04716981132075472,0.27071823204419887,0.010256410256410256,0.030434782608695653,0.03333333333333333,0.07874015748031496,0.1318181818181818,0.24338624338624337,0.0779816513761468,0.06046511627906977,0.07727272727272727,0.02127659574468085,0.0,0.0,0.04245283018867924,0.021739130434782608,0.2536082474226804,0.12883435582822086,0.15221774193548387,0.3,0.20272904483430798,0.21551724137931033,0.11063829787234042,0.1909722222222222,0.0,0.0055248618784530384,0.0106951871657754,0.028,0.0,0.2216624685138539,0.17,0.14220183486238533,0.0761904761904762,0.08108108108108109,0.03015075376884422,0.19195612431444242,0.035,0.23059866962305986,0.005291005291005291,0.0,0.0,0.0,0.02830188679245283,0.05970149253731343,0.0
historic,0.0,0.03076923076923077,0.009852216748768473,0.009900990099009901,0.01744186046511628,0.02127659574468085,0.0,0.016643550624133148,0.015873015873015872,0.05263157894736842,0.030303030303030304,0.015151515151515152,0.0,0.006993006993006993,0.0,0.00684931506849315,0.0,0.018518518518518517,0.0,0.0,0.0,0.05405405405405406,0.005988023952095809,0.010256410256410256,0.125,0.014084507042253521,0.0,0.018691588785046728,0.0,0.013289036544850499,0.0,0.0,0.014084507042253521,0.0,0.0,0.0,0.01818181818181818,0.0,0.006818181818181818,0.025252525252525252,0.009287925696594427,0.00546448087431694,0.013452914798206279,0.0037174721189591076,0.010526315789473684,0.0,0.0,0.0,0.0,0.033707865168539325,0.0,0.015873015873015872,0.010869565217391304,0.0,0.016666666666666666,0.026785714285714284,0.0,0.01037344398340249,0.024390243902439025,0.007751937984496124,0.0,0.0,0.0,0.0,0.019230769230769232,0.02127659574468085,0.0
hospital,0.01694915254237288,0.011627906976744186,0.020833333333333332,0.014285714285714285,0.018957345971563982,0.0,0.0,0.03480589022757698,0.02564102564102564,0.0,0.0,0.029914529914529916,0.0,0.02608695652173913,0.0,0.02185792349726776,0.013513513513513514,0.013513513513513514,0.045454545454545456,0.0,0.0,0.025974025974025976,0.024630541871921183,0.030434782608695653,0.014084507042253521,0.17857142857142858,0.022222222222222223,0.013605442176870748,0.024793388429752067,0.026785714285714284,0.009174311926605505,0.019801980198019802,0.009009009009009009,0.0,0.017543859649122806,0.07017543859649122,0.02127659574468085,0.0,0.034261241970021415,0.03404255319148936,0.03771661569826707,0.02512562814070352,0.025,0.03202846975088968,0.007407407407407408,0.013953488372093023,0.0,0.0,0.0,0.07317073170731707,0.0,0.02564102564102564,0.0319634703196347,0.01639344262295082,0.0,0.019736842105263157,0.0,0.03131115459882583,0.012345679012345678,0.023809523809523808,0.0,0.0,0.0,0.0,0.0,0.03529411764705882,0.0
hostel,0.0,0.07692307692307693,0.0975609756097561,0.07964601769911504,0.07734806629834254,0.0625,0.0,0.025885558583106268,0.055900621118012424,0.0,0.0,0.07804878048780488,0.04819277108433735,0.034324942791762014,0.0,0.050314465408805034,0.0,0.06557377049180328,0.0,0.04477611940298507,0.0,0.0,0.0053475935828877,0.03333333333333333,0.0,0.022222222222222223,0.08333333333333333,0.06611570247933884,0.0297029702970297,0.025236593059936908,0.058823529411764705,0.05063291139240506,0.022222222222222223,0.0,0.0,0.0,0.11764705882352941,0.0,0.04044943820224719,0.046948356807511735,0.03205791106514995,0.040214477211796246,0.03056768558951965,0.027522935779816515,0.02654867256637168,0.047619047619047616,0.0,0.0,0.0,0.05660377358490566,0.0,0.055900621118012424,0.061855670103092786,0.0196078431372549,0.02531645569620253,0.022727272727272728,0.01694915254237288,0.04106776180698152,0.01639344262295082,0.0379746835443038,0.0,0.0,0.022727272727272728,0.0,0.013888888888888888,0.0,0.0
hotel,0.0,0.07106598984771574,0.0888030888030888,0.12578616352201258,0.11504424778761062,0.02459016393442623,0.0,0.06719367588932806,0.1278409090909091,0.0,0.01834862385321101,0.0859375,0.03597122302158273,0.06485355648535565,0.0,0.061611374407582936,0.01818181818181818,0.10650887573964497,0.0,0.024193548387096774,0.0,0.017543859649122806,0.0425531914893617,0.07874015748031496,0.018691588785046728,0.013605442176870748,0.06611570247933884,0.1935483870967742,0.045454545454545456,0.04371584699453552,0.06521739130434782,0.04477611940298507,0.07971014492753623,0.0297029702970297,0.0,0.0,0.05555555555555555,0.0,0.07216494845360824,0.05263157894736842,0.07433808553971487,0.08009708737864078,0.0496031746031746,0.07118055555555555,0.06790123456790123,0.0759493670886076,0.0,0.010752688172043012,0.0,0.049689440993788817,0.0,0.1278409090909091,0.03543307086614173,0.05228758169934641,0.06976744186046512,0.07865168539325842,0.017391304347826087,0.06015037593984962,0.02586206896551724,0.07110091743119266,0.0,0.0,0.0,0.0,0.007751937984496124,0.02459016393442623,0.0
household,0.014084507042253521,0.19230769230769232,0.13716814159292035,0.06944444444444445,0.10194174757281553,0.08695652173913043,0.0,0.06802721088435375,0.10714285714285714,0.0,0.08860759493670886,0.15,0.043859649122807015,0.08764044943820225,0.0,0.15028901734104047,0.011627906976744186,0.14084507042253522,0.0,0.0625,0.0,0.02247191011235955,0.047619047619047616,0.1318181818181818,0.0,0.024793388429752067,0.0297029702970297,0.045454545454545456,0.08823529411764706,0.07854984894259819,0.08928571428571429,0.036036036036036036,0.11711711711711711,0.01282051282051282,0.0,0.0,0.0,0.0273972602739726,0.09271523178807947,0.0625,0.059670781893004114,0.1260053619302949,0.07462686567164178,0.06666666666666667,0.08029197080291971,0.10576923076923077,0.0,0.014705882352941176,0.013333333333333334,0.0,0.0,0.10714285714285714,0.07207207207207207,0.15254237288135594,0.1414141414141414,0.050314465408805034,0.045454545454545456,0.06732673267326733,0.03296703296703297,0.10224438902743142,0.013157894736842105,0.0,0.0,0.0,0.029411764705882353,0.05263157894736842,0.0
kindergarten,0.003424657534246575,0.10597826086956522,0.15738498789346247,0.03591160220994475,0.16666666666666666,0.05592105263157895,0.0,0.19194312796208532,0.1316793893129771,0.0,0.016556291390728478,0.1791044776119403,0.04938271604938271,0.3055555555555556,0.0,0.16991643454038996,0.0165016501650165,0.1069364161849711,0.013422818791946308,0.05555555555555555,0.0029411764705882353,0.0064516129032258064,0.045023696682464455,0.24338624338624337,0.013289036544850499,0.026785714285714284,0.025236593059936908,0.04371584699453552,0.07854984894259819,0.3875432525951557,0.05864197530864197,0.04024767801857585,0.0486322188449848,0.010101010101010102,0.0,0.0,0.018575851393188854,0.010238907849829351,0.29945553539019965,0.12,0.20404234841193455,0.2975708502024291,0.26306620209059234,0.2904761904761905,0.07894736842105263,0.1931216931216931,0.0,0.0034602076124567475,0.020618556701030927,0.022408963585434174,0.0,0.1316793893129771,0.22727272727272727,0.10869565217391304,0.05362776025236593,0.06593406593406594,0.02287581699346405,0.21019108280254778,0.026058631921824105,0.2974559686888454,0.013605442176870748,0.0,0.003367003367003367,0.0,0.009287925696594427,0.04560260586319218,0.0
lawyer,0.017543859649122806,0.075,0.13551401869158877,0.10236220472440945,0.12698412698412698,0.06172839506172839,0.0,0.03351206434316354,0.08814589665653495,0.0,0.014084507042253521,0.10648148148148148,0.05,0.04212860310421286,0.0,0.08187134502923976,0.028169014084507043,0.0962962962962963,0.0,0.060240963855421686,0.0,0.02666666666666667,0.004878048780487805,0.0779816513761468,0.0,0.009174311926605505,0.058823529411764705,0.06521739130434782,0.08928571428571429,0.05864197530864197,0.09259259259259259,0.030612244897959183,0.047619047619047616,0.031746031746031744,0.0,0.0,0.056179775280898875,0.0,0.06888888888888889,0.05240174672489083,0.048503611971104234,0.057291666666666664,0.04925053533190578,0.0625,0.03875968992248062,0.09644670050761421,0.0,0.018518518518518517,0.01639344262295082,0.031746031746031744,0.0,0.08814589665653495,0.04186046511627907,0.05172413793103448,0.11235955056179775,0.0625,0.04,0.05421686746987952,0.02564102564102564,0.062034739454094295,0.016129032258064516,0.0,0.0,0.0,0.03409090909090909,0.03614457831325301,0.0
library,0.0,0.050955414012738856,0.08755760368663594,0.05555555555555555,0.04568527918781726,0.039473684210526314,0.0,0.04514363885088919,0.06042296072507553,0.0,0.04838709677419355,0.07906976744186046,0.07692307692307693,0.045146726862302484,0.0,0.03488372093023256,0.0,0.044444444444444446,0.01694915254237288,0.05194805194805195,0.0,0.014492753623188406,0.01015228426395939,0.06046511627906977,0.0,0.019801980198019802,0.05063291139240506,0.04477611940298507,0.036036036036036036,0.04024767801857585,0.030612244897959183,0.0425531914893617,0.03,0.03571428571428571,0.0,0.0,0.03571428571428571,0.018867924528301886,0.06040268456375839,0.08333333333333333,0.03913491246138002,0.05555555555555555,0.05689277899343545,0.04963235294117647,0.058333333333333334,0.06091370558375635,0.0,0.0,0.0,0.05128205128205128,0.0,0.06042296072507553,0.05853658536585366,0.036036036036036036,0.033707865168539325,0.050359712230215826,0.0,0.054989816700611,0.057971014492753624,0.04466501240694789,0.01818181818181818,0.0,0.0,0.0,0.09090909090909091,0.01282051282051282,0.0
