source,target,value
1355,1394,5.0
1356,1394,48.0
1358,1357,244.0
1359,1608,54.0
1360,1346,16.0
1361,1346,13.0
1362,1346,16.0
1363,1346,17.0
1364,1394,19.0
1365,1394,44.0
1368,1338,244.0
1369,1338,167.0
1370,1338,262.0
1371,1338,293.0
1372,1338,249.0
1373,1263,71.0
1374,1384,93.0
1375,1384,135.0
1376,1338,203.0
1377,1262,128.0
1378,1262,129.0
1379,1384,497.0
1381,1384,126.0
1382,1384,181.0
1386,1394,16.0
1387,1608,50.0
1388,1394,11.0
1390,1357,302.0
1391,1394,97.0
1392,1331,144.0
1393,1331,170.0
1395,1333,407.0
1395,1425,128.0
1396,1425,969.0
1397,1262,38.0
1398,1262,104.0
1399,1425,426.0
1400,1404,181.0
1401,1404,192.0
1401,1407,4.0
1402,1404,49.0
1405,1262,24.0
1408,1404,62.0
1409,1407,287.0
1410,1407,48.0
1411,1407,67.0
1412,1407,178.0
1414,1404,44.0
1417,1407,121.0
1419,1404,187.0
1420,1404,62.0
1421,1404,102.0
1422,1425,191.0
1422,1438,76.0
1423,1425,442.0
1424,1262,19.0
1424,1438,50.0
1426,1438,46.0
1427,1262,24.0
1428,1262,8.0
1429,1262,16.0
1430,1438,57.0
1431,1438,72.0
1432,1438,103.0
1433,1438,147.0
1434,1438,48.0
1435,1262,24.0
1439,1262,7.0
1440,1262,8.0
1441,1262,9.0
1442,1262,9.0
1443,1262,8.0
1444,1438,42.0
1445,1262,2.0
1446,1262,14.0
1447,1438,52.0
1448,1438,56.0
1449,1438,232.0
1450,1438,117.0
1451,1416,18.0
1452,1416,21.0
1453,1262,27.0
1454,1407,204.0
1455,1438,46.0
1457,1404,80.0
1457,1438,19.0
1458,1404,56.0
1459,1404,95.0
1460,1262,33.0
1461,1404,122.0
1466,1921,5.0
1467,1921,10.0
1468,2258,10.0
1469,1921,4.0
1470,2618,95.0
1471,1476,153.0
1472,2618,188.0
1473,3018,40.0
1474,1476,194.0
1479,2097,201.0
1481,3003,16.0
1481,3018,8.0
1483,1500,44.0
1484,1500,110.0
1485,1475,547.0
1486,1921,6.0
1487,1921,7.0
1488,1921,1.0
1488,2258,6.0
1489,1921,9.0
1490,2258,15.0
1491,1921,7.0
1492,1921,11.0
1493,1921,1.0
1494,1921,12.0
1495,1921,10.0
1497,1921,10.0
1498,1921,17.0
1499,1921,5.0
1501,1500,67.0
1502,2258,12.0
1503,1500,268.0
1504,1500,69.0
1504,2097,38.0
1505,2097,167.0
1506,2097,68.0
1507,2097,84.0
1509,2097,100.0
1510,1514,51.0
1510,2097,28.0
1512,1514,324.0
1513,1514,87.0
1515,2258,20.0
1516,2258,17.0
1517,2258,8.0
1518,2258,9.0
1519,2258,6.0
1520,2258,13.0
1521,3018,26.0
1522,2258,9.0
1523,1921,1.0
1524,2258,8.0
1525,2258,10.0
1526,1514,78.0
1527,1514,55.0
1528,2258,13.0
1529,2258,9.0
1530,1921,4.0
1531,1921,8.0
1532,1921,9.0
1533,1921,7.0
1534,1921,7.0
1535,1921,4.0
1536,2258,6.0
1537,2258,10.0
1538,2258,10.0
1539,2258,14.0
1540,2258,16.0
1541,2258,13.0
1542,1921,9.0
1543,1921,14.0
1544,2258,11.0
1545,1921,14.0
1546,1514,273.0
1547,1921,6.0
1548,1921,11.0
1549,1921,5.0
1550,1500,53.0
1551,1921,7.0
1552,1921,6.0
1553,1921,2.0
1554,1514,60.0
1555,3018,33.0
1556,1514,134.0
1557,3003,17.0
1560,1598,3.0
1564,1598,19.0
1568,2517,5.0
1571,2517,3.0
1575,1598,3.0
1577,2517,63.0
1578,1598,1.0
1579,2517,53.0
1580,1598,37.0
1580,2517,11.0
1581,1582,73.0
1581,2517,13.0
1583,2517,89.0
1585,1582,551.0
1586,2517,160.0
1588,1598,3.0
1589,1598,27.0
1590,1598,32.0
1591,1601,98.0
1592,1601,126.0
1593,1601,207.0
1594,1601,76.0
1595,1606,162.0
1596,1601,332.0
1600,1357,77.0
1600,1606,304.0
1602,1601,180.0
1603,1606,199.0
1604,1608,62.0
1607,1357,498.0
1609,1608,103.0
1610,1357,429.0
1615,1606,159.0
1617,1606,321.0
1621,1619,4.0
1622,1598,1.0
1623,1611,285.0
1624,77,165.0
1625,1598,1.0
1626,77,9.0
1630,2769,26.0
1635,820,27.0
1655,761,1379.0
1657,571,647.0
1657,930,62.0
1658,1476,325.0
1660,930,370.0
1673,2769,15.0
1705,2769,7.0
1712,1093,10.0
1713,2769,1.0
1728,2427,2.0
1729,2427,7.0
1732,2427,9.0
1733,2427,36.0
1735,2427,5.0
1736,3025,39.0
1738,2427,21.0
1739,2427,7.0
1741,2427,6.0
1742,2427,15.0
1743,2427,19.0
1745,2427,10.0
1746,2427,4.0
1747,2427,23.0
1748,3025,11.0
1749,2427,60.0
