,population,degree_centrality,population_normalized,degree_centrality_normalized,population_centrality
77,10,0.0019280205655526992,1.000551511140525,1.1538461538461537,0.1095421454786113
78,52,0.0009640102827763496,1.0028678579307302,1.0769230769230769,0.0567354551471031
79,3,0.002570694087403599,1.0001654533421576,1.205128205128205,0.14559593285602546
80,0,0.0016066838046272492,1.0,1.1282051282051282,0.09090909090909094
81,0,0.0006426735218508997,1.0,1.0512820512820513,0.036363636363636376
82,0,0.002570694087403599,1.0,1.205128205128205,0.1454545454545454
83,0,0.0016066838046272492,1.0,1.1282051282051282,0.09090909090909094
84,0,0.0009640102827763496,1.0,1.0769230769230769,0.054545454545454564
85,0,0.0012853470437017994,1.0,1.1025641025641026,0.07272727272727275
86,0,0.002570694087403599,1.0,1.205128205128205,0.1454545454545454
87,0,0.0016066838046272492,1.0,1.1282051282051282,0.09090909090909094
88,0,0.0016066838046272492,1.0,1.1282051282051282,0.09090909090909094
89,0,0.002570694087403599,1.0,1.205128205128205,0.1454545454545454
90,0,0.0016066838046272492,1.0,1.1282051282051282,0.09090909090909094
91,0,0.0019280205655526992,1.0,1.1538461538461537,0.10909090909090902
92,0,0.002570694087403599,1.0,1.205128205128205,0.1454545454545454
93,0,0.0016066838046272492,1.0,1.1282051282051282,0.09090909090909094
94,0,0.002570694087403599,1.0,1.205128205128205,0.1454545454545454
95,0,0.0016066838046272492,1.0,1.1282051282051282,0.09090909090909094
96,0,0.002570694087403599,1.0,1.205128205128205,0.1454545454545454
97,0,0.0012853470437017994,1.0,1.1025641025641026,0.07272727272727275
98,0,0.0022493573264781488,1.0,1.1794871794871795,0.12727272727272732
99,0,0.0006426735218508997,1.0,1.0512820512820513,0.036363636363636376
100,0,0.0019280205655526992,1.0,1.1538461538461537,0.10909090909090902
101,0,0.0019280205655526992,1.0,1.1538461538461537,0.10909090909090902
102,0,0.0019280205655526992,1.0,1.1538461538461537,0.10909090909090902
103,0,0.002570694087403599,1.0,1.205128205128205,0.1454545454545454
104,0,0.002570694087403599,1.0,1.205128205128205,0.1454545454545454
105,0,0.0016066838046272492,1.0,1.1282051282051282,0.09090909090909094
106,0,0.002570694087403599,1.0,1.205128205128205,0.1454545454545454
107,0,0.0022493573264781488,1.0,1.1794871794871795,0.12727272727272732
108,0,0.0016066838046272492,1.0,1.1282051282051282,0.09090909090909094
109,0,0.0022493573264781488,1.0,1.1794871794871795,0.12727272727272732
110,0,0.0019280205655526992,1.0,1.1538461538461537,0.10909090909090902
111,0,0.0012853470437017994,1.0,1.1025641025641026,0.07272727272727275
