,area_accessibility
652,31.593491302185075
653,31.534961717424675
654,32.061255654399545
655,31.351472706304705
656,31.925072893548187
657,31.544780428122202
658,32.33607079423032
659,33.66823022125366
660,32.10140679034498
661,33.52559004156447
662,31.722013979301693
663,31.370243354797363
664,33.362327510507825
665,32.474066462104666
666,32.14242756450817
667,32.02140221792033
668,31.872945399879686
669,32.485910397725675
670,31.439503177980022
671,31.307527414529414
672,30.829798565455782
673,31.507990664662323
674,31.596774213573756
675,31.40576450072308
676,30.748593431534516
677,31.801423311990497
678,31.06132095621893
679,30.922270069832013
680,31.820262893364113
681,30.928818311386685
682,30.714833418599518
683,31.25169885691162
684,31.211132420652056
685,31.40166055146207
686,31.886002196961588
687,32.07133639846739
688,32.14727524302884
689,30.16079507413489
690,31.48065970003415
691,31.25364566264644
692,30.30056824107971
693,30.73694520613031
694,31.458369442856043
695,30.65935840923058
696,30.552841635693845
697,31.16026067244503
698,31.115853773547656
699,30.919863548860995
700,30.77531230277826
701,30.815324305833503
702,30.137308260050645
703,30.704341928954143
704,30.787708346286262
705,30.379824917722736
706,30.44580926665532
707,30.540703300684914
708,31.5395443795777
709,31.423687520568574
710,30.525494064874106
711,30.60443634480221
712,30.904619079169272
713,30.92610108035256
714,30.62050784764438
715,31.747888039643556
716,30.812118244456688
717,30.632335977568935
718,30.339736093121665
719,31.053906571180665
720,30.16873890987212
721,30.783238841991867
722,30.877238274673143
723,29.99254644506818
724,30.95991257391438
725,30.93619419857726
726,31.379282243029998
727,31.126773141620628
728,31.083490085075685
729,31.014949792191516
730,30.60357932130879
731,30.547854305041344
732,31.060094888972912
733,31.950121440695685
734,31.048009361308623
735,30.719636601321668
736,30.74105122299274
737,31.08009281779488
738,30.787106321081378
739,30.044836869599166
740,31.181023277625624
741,30.953020773368817
742,31.512429349161362
743,31.693920171173122
744,30.922005626552654
745,29.59241180977077
746,30.605252092312934
747,30.291275083802258
748,30.64295773006656
749,30.349834621792198
750,30.550331189975203
751,30.482685025071294
752,30.53030811260353
753,30.442125056862942
754,29.860358128839586
755,30.157156136950146
756,29.770863564471274
757,29.51644471227464
758,32.097330620544945
759,31.820545876743772
760,29.885155520398822
761,33.694838072463206
762,31.966506661098112
763,31.55289338195009
764,31.263348314511468
765,31.526174142687157
766,31.90756308781468
767,32.839156274722235
768,32.52619388389855
769,30.812164449655477
770,30.51804343354332
771,31.43709991228073
772,31.386402891863938
773,30.97400782125046
774,31.099983259368116
775,31.68795981514729
776,31.318263984943638
777,32.14390185040185
778,32.13242096313176
779,32.67265649596922
780,31.29105423336214
781,31.365829617476304
782,31.217486267067773
783,31.021355160901454
784,30.98366466937996
785,30.916036970392902
786,31.000713736161025
787,30.873221585171056
788,30.89549989719532
789,30.940615674625324
790,30.966990292380096
791,29.989213935157075
792,30.93685872140081
793,31.047521392451856
794,31.33911471469464
795,33.80448322886899
796,32.595777723329604
797,31.367653682762054
798,31.41647125963893
799,31.309697170308144
800,31.972938009350045
801,30.636380831391634
802,31.393246853428543
803,31.214196522614223
804,30.900310188492746
805,30.85717774118444
806,30.5627905916321
807,31.02039128451883
808,30.565777595764914
809,30.39530938528696
810,29.96539273410855
811,30.298962535160367
812,30.635054630319292
813,30.728690809287414
814,30.864810745859916
815,30.922142513234057
816,31.04287588855572
817,31.067664109227213
818,31.093377666268367
819,31.149106194780682
820,31.35333654821469
821,31.441921307780916
822,30.058078340534404
823,29.55670247783695
824,30.116317355422517
825,30.223616770958188
826,29.876722670423366
827,30.448540087235113
828,30.89124360223156
829,30.066044678540557
830,30.271436752680046
831,30.265572977566173
832,30.112029926566052
833,30.00496293808774
834,29.812380622448146
835,29.674827804478877
836,30.261413517373462
837,31.25357224089024
838,30.47286989999164
839,31.481619388493083
840,31.07893242204003
841,30.955104386255584
842,30.598065460754402
843,30.863619713123562
844,30.372099050000546
845,31.044143433728493
846,30.561288167338855
847,30.546105151207794
848,30.63510266843177
