,land_use_accessibility
1283,15.6484375
1284,15.359375
1285,15.59375
1286,15.2109375
1287,15.4375
1288,16.296875
1289,14.53125
1290,14.703125
1291,15.6875
1292,16.21875
1293,15.765625
1294,15.8046875
1295,15.84375
1296,15.515625
1297,15.8359375
1298,15.84375
1299,15.65625
1300,15.421875
1301,15.2265625
1302,15.4375
1303,15.2265625
1304,16.5
1305,16.984375
1306,15.859375
1307,15.7734375
1308,15.640625
1309,16.140625
1310,16.5625
1311,16.484375
1312,15.8046875
1313,14.96875
1314,15.03125
1315,15.1015625
1316,15.1484375
1317,15.1796875
1318,16.25
1319,16.15625
1320,15.8515625
1321,16.328125
1322,14.828125
1323,14.484375
1324,15.328125
1325,14.53125
1326,13.375
1327,14.4296875
1328,13.7109375
1329,14.4765625
1330,15.015625
1331,15.0
1332,13.90625
1333,15.203125
1334,14.0546875
1335,14.3984375
1336,15.9140625
1337,14.71875
1338,15.671875
1339,14.25
1340,14.3984375
1341,14.875
1342,14.53125
1343,13.8984375
1344,13.7109375
1345,14.703125
1346,14.84375
1347,13.890625
1348,14.0234375
1349,13.484375
1350,13.2734375
1351,14.015625
1352,12.8828125
1353,13.046875
1354,12.9453125
1355,12.8671875
1356,14.3359375
1357,14.265625
1358,15.1640625
1359,14.328125
1360,14.015625
1361,14.0234375
1362,14.0
1363,14.640625
1364,14.7890625
1365,13.0859375
1366,14.8671875
1367,14.8515625
1368,16.015625
1369,15.7421875
1370,15.6875
1371,14.6328125
1372,15.734375
1373,15.71875
1374,15.46875
1375,15.59375
1376,15.9453125
1377,15.984375
1378,15.1640625
1379,16.21875
1380,16.46875
1381,16.84375
1382,17.3125
1383,15.375
1384,16.046875
1385,15.84375
1386,13.7421875
1387,14.375
1388,14.2734375
1389,14.875
1390,14.1875
1391,16.734375
1392,14.640625
1393,14.53125
1394,13.7578125
1395,17.5625
1396,18.59375
1397,17.078125
1398,14.96875
1399,14.5234375
1400,14.6796875
1401,14.515625
1402,14.40625
1403,14.5859375
