,connectivity
745,0.05737969824132617
746,0.05441021885280957
747,0.0553283309805327
748,0.05441443722892054
749,0.05525985055994698
750,0.0547601704487178
751,0.05487967698232118
752,0.05482052637065693
753,0.05500200269361767
754,0.05711793702241073
755,0.05602983167902796
756,0.057186299842824063
757,0.05720557413048647
758,0.04971490320591184
759,0.05040826049062407
760,0.05576602283427858
761,0.045500304788723786
762,0.05199619684189512
763,0.05314468009880292
764,0.053697802579909186
765,0.05308174259109023
766,0.05247618599595435
767,0.050033090542117076
768,0.050824676638406285
769,0.054700877529412696
770,0.05583605570953511
771,0.053378803924974336
772,0.05303427642364584
773,0.054450543224885684
774,0.054079540106059386
775,0.05243398047727115
776,0.053655515315556505
777,0.05176374969664741
778,0.05136522145157931
779,0.050263730039531225
780,0.053447825552417276
781,0.05317162892473005
782,0.05346635198674926
783,0.05396753865231644
784,0.053989868455509446
785,0.05392829789426932
786,0.05402834146610904
787,0.054327660385804645
788,0.054262790057189925
789,0.05421917125397759
790,0.053951577890810336
791,0.05695948874130772
792,0.05408842767954818
793,0.05382546311695885
794,0.05245316974266244
795,0.046996953240501994
796,0.04977404647956146
797,0.05302056249804063
798,0.05272127125227198
799,0.05321665663650649
800,0.05153893392081657
801,0.05538111753266035
802,0.05297352677583592
803,0.05258681812979823
804,0.053352969466504904
805,0.05335336581148378
806,0.05410696540697305
807,0.05279433743352222
808,0.05410602174692869
809,0.054491584375700584
810,0.055633932021058395
811,0.054383619191851085
812,0.05359240910496891
813,0.05330667023747176
814,0.053158275061182085
815,0.05329322138010748
816,0.05303342345411568
817,0.05299320412048523
818,0.053104819035844394
819,0.05277166277018416
820,0.05181802610806683
821,0.05133783004135713
822,0.0553565936301189
823,0.05692298338414502
824,0.05500492254441411
825,0.05420536456190714
826,0.05565373350306182
827,0.053818888059693835
828,0.05223050167733184
829,0.05428617993189792
830,0.0537437427802296
831,0.05360615739549295
832,0.05392740483107211
833,0.054528042387032946
834,0.05510619510604165
835,0.0552942765897152
836,0.053497514497362356
837,0.05201142392641767
838,0.054096843717936334
839,0.051590180972224106
840,0.05221532807423411
841,0.05246443384346648
842,0.05339276907063191
843,0.05264933225802921
844,0.053938850482569835
845,0.05193112841704097
846,0.05339226883026909
847,0.053682874904058736
848,0.05303162104271677
849,0.03664547359330198
850,0.019716575728163006
851,0.05132733590246741
852,0.04391257888405725
853,0.05036192639594006
854,0.048452766020368555
855,0.04579070870145565
856,0.04837844528990499
857,0.044158425831897496
858,0.051588724058558036
859,0.04906580518005635
860,0.050607731393535034
861,0.03197130505122203
862,0.03131155290164048
863,0.03094124805321804
864,0.030916999254625568
865,0.038094950221846585
866,0.044380250700403766
867,0.040416243646996156
868,0.04714335143938429
869,0.035343922506120104
870,0.0370345071602981
871,0.03639731757500984
872,0.04958508074381782
873,0.04806065369485159
874,0.048820555721563935
875,0.05349086104606971
876,0.053204554324788
877,0.05652134681065368
878,0.05361404022586927
879,0.05415257949523435
880,0.05442387023507747
881,0.05401531069817134
882,0.05456857005321156
883,0.05609449683593263
884,0.05397793432846639
885,0.05409282512358167
886,0.05396532779566199
887,0.05391135138069895
888,0.05458794425301149
889,0.05590087608476357
890,0.048621462355248606
891,0.0490693870865847
892,0.05297977910675442
893,0.052423180235078796
894,0.052734788335839874
895,0.054664587077946726
896,0.05401784288412222
897,0.05491898034184417
898,0.05431190790196782
899,0.05262639633030138
900,0.051972218860092206
901,0.0498911846739299
902,0.05307680945900403
903,0.0530634763212354
904,0.0554976596345793
905,0.05383651725313497
906,0.053065968389044094
907,0.05579926534429776
908,0.053341581136406184
909,0.05352780615200999
910,0.054693795883256166
911,0.05214908793703214
912,0.053005933908994524
913,0.053462104870516364
914,0.053436984906840373
915,0.053374190346512605
916,0.05435781198111751
917,0.05359800291498843
918,0.05331384718292966
919,0.04917303837713817
920,0.051665493991765656
921,0.04776030210927184
922,0.051970405432959665
923,0.04940328362675705
924,0.04854174681145271
925,0.051576163495556854
926,0.04762249493630402
