,site_area,fsi,gsi,mxi,build_floor_area,footprint_area,living_area,non_living_area
34,491626.089398829,0.0,0.0,0.0,0.0,0.0,0.0,0.0
35,899268.3730730212,0.008974849530235945,0.008974849530235945,0.0,8070.798335630447,8070.798335630447,0.0,8070.798335630447
36,112386.51588336304,0.041120996394616936,0.041120996394616936,0.0,4621.4455144433305,4621.4455144433305,0.0,4621.4455144433305
37,158914.53895658738,0.0,0.0,0.0,0.0,0.0,0.0,0.0
38,423298.4385711703,0.007631521752314521,0.005785920529791788,0.0,3230.4112416766584,2449.1711259577423,0.0,3230.4112416766584
39,539122.7892417586,0.00021004417600212945,0.00021004417600212945,0.0,113.2396020302549,113.2396020302549,0.0,113.2396020302549
40,155254.41742990623,0.13284902831145062,0.1119982430156825,0.0,20625.398496623387,17388.22197257285,0.0,20625.398496623387
41,344983.9072857425,0.007535214822743209,0.007535214822743209,0.0,2599.527851787396,2599.527851787396,0.0,2599.527851787396
42,149669.6269375638,0.1162510548179135,0.07283426562343782,0.0,17399.25200569539,10901.077364131366,0.0,17399.25200569539
43,4.0657581468206416e-19,0.0,0.0,0.0,0.0,0.0,0.0,0.0
44,72238.66572084247,0.043247378349522754,0.043247378349522754,0.0791252039322557,3124.1329078939743,3124.1329078939743,247.19765344858172,2876.9352544453927
45,146593.2849695871,0.09683600244986719,0.08819393623724484,0.6602082435525084,14195.507702449017,12928.638827416027,9371.99120656997,4823.5164958790465
46,6.2341624917916505e-19,0.0,0.0,0.0,0.0,0.0,0.0,0.0
47,114572.96853293572,0.43352955363922074,0.10931285909620674,0.7227893679594735,49670.76790720411,12524.29876547493,35901.502941709754,13769.264965494353
48,96710.61356030121,0.8468153183174143,0.16852928374306064,0.6583294002541518,81896.02900673891,16298.57043366949,53914.56365920304,27981.465347535872
49,307159.06815606577,0.00043486872944377425,0.00043486872944377425,0.0,133.57387370616198,133.57387370616198,0.0,133.57387370616198
50,291447.3702812028,0.009015707021174374,0.009015707021174374,0.0,2627.6041025470477,2627.6041025470477,0.0,2627.6041025470477
51,306937.06728877506,0.00014671832775871194,0.00014671832775871194,0.0,45.03329323977232,45.03329323977232,0.0,45.03329323977232
52,1444247.3847577525,7.899523353175036e-05,7.899523353175036e-05,0.0,114.08865943655837,114.08865943655837,0.0,114.08865943655837
53,112081.79117742466,0.03123386834759785,0.03123386834759785,0.0,3500.747909798636,3500.747909798636,0.0,3500.747909798636
54,94279.75232960346,0.05690493055216827,0.05690493055216827,0.0,5364.98275879171,5364.98275879171,0.0,5364.98275879171
55,264557.36841649335,0.20980435334888112,0.17310502612068696,0.1122018292998483,55505.28760430409,45796.21017015728,6227.7948050171135,49277.49279928698
56,155478.8763704154,0.001218707928847735,0.001218707928847735,0.0,189.483339400962,189.483339400962,0.0,189.483339400962
57,80794.8949430302,0.04716897975575124,0.04716897975575124,0.5477537572889448,3811.0127639358398,3811.0127639358398,2087.4965605219827,1723.516203413857
58,81642.01137193118,0.08771700644912149,0.08361466509981409,0.7026420311499701,7161.392838030937,6826.469438939239,5031.895609576907,2129.49722845403
59,238763.4999261186,0.19422312916131293,0.05481461489166323,0.7441558232644453,46373.39408515766,13087.729298635852,34509.03125300706,11864.362832150604
60,23131.605646611988,0.17243737044969076,0.17243737044969076,0.3220726948779521,3988.75325198099,3988.75325198099,1284.6685090687126,2704.0847429122778
61,178064.9755589565,0.0012288285314366288,0.0012288285314366288,0.0,218.8113224164117,218.8113224164117,0.0,218.8113224164117
62,84517.95478911881,0.0,0.0,0.0,0.0,0.0,0.0,0.0
63,367825.21580778004,0.003615473638035792,0.003615473638035792,0.0,1329.8623711578548,1329.8623711578548,0.0,1329.8623711578548
64,98051.26666763893,0.15432017970554426,0.13046245941402365,0.0,15131.289092506282,12792.009398120455,0.0,15131.289092506282
65,73052.43507604972,0.13340165334472454,0.13340165334472454,0.0,9745.315620003179,9745.315620003179,0.0,9745.315620003179
66,182381.33684112545,0.06878546239221803,0.0665203634933016,0.6076243073020031,12545.184586327683,12132.072821065945,7622.759094243125,4922.425492084558
67,24954.672189713907,0.559365085497943,0.12785269384654388,0.6516209510259948,13958.77234297246,3190.522063512355,9095.828509283068,4862.943833689391
68,55607.676369241046,0.07562144742365567,0.07562144742365567,0.0,4205.1329749082215,4205.1329749082215,0.0,4205.1329749082215
69,83315.64894786717,0.11475655943688191,0.0906981442108829,0.6261819110164701,9561.017220508307,7556.574743296951,5986.936034399271,3574.081186109036
70,37183.75734832458,0.11880964447593279,0.0943868679593222,0.7052410746600932,4417.788990833797,3509.6583950677887,3115.606255517155,1302.1827353166414
71,258280.67977140652,1.0197814837598647,0.17785388197739063,0.692519072032012,263389.8548437914,45936.22153710396,182402.49785906877,80987.35698472263
